state_abbr,week_start,week_end,week,temp_avg_week,precip_total_week,humidity_avg_week
NV,2025-01-15,2025-01-21,4,-1.3142857142857143,0.0,39.857142857142854
NV,2025-01-22,2025-01-28,5,-1.0,0.9,36.42857142857143
NV,2025-01-29,2025-02-04,6,1.0499999999999998,0.0,39.25
NY,2025-01-01,2025-01-07,2,-6.228571428571429,21.0,76.57142857142857
NY,2025-01-08,2025-01-14,3,-7.985714285714286,7.1,79.42857142857143
NY,2025-01-15,2025-01-21,4,-9.528571428571428,10.0,79.0
NY,2025-01-22,2025-01-28,5,-10.342857142857143,2.7,67.57142857142857
NY,2025-01-29,2025-02-04,6,-5.85,17.0,76.75
OH,2025-01-01,2025-01-07,2,-5.328571428571428,10.2,79.57142857142857
OH,2025-01-08,2025-01-14,3,-7.242857142857143,6.8,84.57142857142857
OH,2025-01-15,2025-01-21,4,-8.628571428571428,11.6,80.42857142857143
OH,2025-01-22,2025-01-28,5,-7.014285714285714,2.0,72.0
OH,2025-01-29,2025-02-04,6,1.375,7.1,78.75
OK,2025-01-01,2025-01-07,2,1.2571428571428573,1.3,66.0
OK,2025-01-08,2025-01-14,3,-0.7857142857142857,13.100000000000001,71.85714285714286
OK,2025-01-15,2025-01-21,4,-0.47142857142857114,4.5,51.714285714285715
OK,2025-01-22,2025-01-28,5,1.8,0.2,49.42857142857143
OK,2025-01-29,2025-02-04,6,8.9,13.1,77.25
OR,2025-01-01,2025-01-07,2,1.9428571428571428,108.9,91.42857142857143
OR,2025-01-08,2025-01-14,3,1.9428571428571428,19.6,71.14285714285714
OR,2025-01-15,2025-01-21,4,-0.8428571428571427,0.5,64.85714285714286
OR,2025-01-22,2025-01-28,5,-1.0142857142857142,0.0,53.142857142857146
OR,2025-01-29,2025-02-04,6,1.325,53.7,70.5
PA,2025-01-01,2025-01-07,2,-2.8285714285714287,6.0,64.71428571428571
PA,2025-01-08,2025-01-14,3,-4.314285714285714,3.2,63.57142857142857
PA,2025-01-15,2025-01-21,4,-6.114285714285714,9.3,72.14285714285714
PA,2025-01-22,2025-01-28,5,-7.1,0.2,67.0
PA,2025-01-29,2025-02-04,6,0.7250000000000001,10.399999999999999,66.5
RI,2025-01-01,2025-01-07,2,-0.7714285714285712,24.1,57.857142857142854
RI,2025-01-08,2025-01-14,3,-2.4714285714285715,3.5,57.714285714285715
RI,2025-01-15,2025-01-21,4,-3.185714285714286,18.0,66.85714285714286
RI,2025-01-22,2025-01-28,5,-5.142857142857143,0.2,58.285714285714285
RI,2025-01-29,2025-02-04,6,-0.4749999999999999,16.7,63.25
SC,2025-01-01,2025-01-07,2,5.985714285714286,4.3,56.142857142857146
SC,2025-01-08,2025-01-14,3,1.9857142857142858,15.6,66.85714285714286
SC,2025-01-15,2025-01-21,4,5.114285714285714,25.4,58.714285714285715
SC,2025-01-22,2025-01-28,5,3.2285714285714286,8.6,58.857142857142854
SC,2025-01-29,2025-02-04,6,13.524999999999999,4.6,60.0
SD,2025-01-01,2025-01-07,2,-13.657142857142857,3.6,77.14285714285714
SD,2025-01-08,2025-01-14,3,-10.085714285714285,6.2,81.57142857142857
SD,2025-01-15,2025-01-21,4,-11.757142857142856,0.0,68.57142857142857
SD,2025-01-22,2025-01-28,5,-5.4,1.2000000000000002,68.14285714285714
SD,2025-01-29,2025-02-04,6,0.6749999999999999,0.0,65.75
TN,2025-01-01,2025-01-07,2,1.6714285714285713,28.3,69.0
TN,2025-01-08,2025-01-14,3,-1.4857142857142858,10.299999999999999,74.57142857142857
TN,2025-01-15,2025-01-21,4,-0.7571428571428573,7.5,61.42857142857143
TN,2025-01-22,2025-01-28,5,0.21428571428571422,1.8,55.142857142857146
TN,2025-01-29,2025-02-04,6,9.95,55.3,77.25
TX,2025-01-01,2025-01-07,2,9.385714285714286,0.5,70.85714285714286
TX,2025-01-08,2025-01-14,3,4.8428571428571425,25.3,65.28571428571429
TX,2025-01-15,2025-01-21,4,5.3,1.3,54.714285714285715
TX,2025-01-22,2025-01-28,5,6.828571428571428,3.3,64.42857142857143
TX,2025-01-29,2025-02-04,6,13.65,58.5,66.75
UT,2025-01-01,2025-01-07,2,-1.3142857142857143,7.4,82.28571428571429
UT,2025-01-08,2025-01-14,3,-3.4428571428571426,3.7,73.85714285714286
UT,2025-01-15,2025-01-21,4,-6.1,0.5,57.0
UT,2025-01-22,2025-01-28,5,-5.971428571428571,4.2,65.28571428571429
UT,2025-01-29,2025-02-04,6,-3.4250000000000003,2.4,63.75
VA,2025-01-01,2025-01-07,2,0.4714285714285714,25.799999999999997,59.285714285714285
VA,2025-01-08,2025-01-14,3,-3.057142857142857,3.4,68.14285714285714
VA,2025-01-15,2025-01-21,4,-1.5857142857142856,4.199999999999999,61.57142857142857
VA,2025-01-22,2025-01-28,5,0.3428571428571428,0.0,47.142857142857146
VA,2025-01-29,2025-02-04,6,8.2,30.000000000000004,59.75
VT,2025-01-01,2025-01-07,2,-9.428571428571429,25.6,78.71428571428571
VT,2025-01-08,2025-01-14,3,-10.185714285714285,7.0,80.57142857142857
VT,2025-01-15,2025-01-21,4,-11.585714285714285,8.2,77.42857142857143
VT,2025-01-22,2025-01-28,5,-12.342857142857143,3.5,67.28571428571429
VT,2025-01-29,2025-02-04,6,-11.25,14.5,76.5
WA,2025-01-01,2025-01-07,2,0.6428571428571429,43.8,88.57142857142857
WA,2025-01-08,2025-01-14,3,0.7285714285714285,24.3,84.28571428571429
WA,2025-01-15,2025-01-21,4,-3.3857142857142857,4.0,75.71428571428571
WA,2025-01-22,2025-01-28,5,-3.042857142857143,0.0,69.57142857142857
WA,2025-01-29,2025-02-04,6,-0.375,49.7,79.0
WI,2025-01-01,2025-01-07,2,-9.642857142857142,0.8,60.285714285714285
WI,2025-01-08,2025-01-14,3,-9.442857142857141,3.7,68.85714285714286
WI,2025-01-15,2025-01-21,4,-13.342857142857143,0.7,64.71428571428571
WI,2025-01-22,2025-01-28,5,-8.285714285714286,2.5,64.57142857142857
WI,2025-01-29,2025-02-04,6,-1.5999999999999999,0.0,59.25
WV,2025-01-01,2025-01-07,2,-2.6999999999999997,42.8,73.42857142857143
WV,2025-01-08,2025-01-14,3,-5.9,10.0,77.71428571428571
WV,2025-01-15,2025-01-21,4,-5.557142857142857,16.4,75.0
WV,2025-01-22,2025-01-28,5,-3.6285714285714286,0.0,63.857142857142854
WV,2025-01-29,2025-02-04,6,4.75,35.0,71.25
WY,2025-01-01,2025-01-07,2,-7.614285714285714,4.7,79.85714285714286
WY,2025-01-08,2025-01-14,3,-10.542857142857143,4.3,76.42857142857143
WY,2025-01-15,2025-01-21,4,-15.457142857142857,6.9,73.85714285714286
WY,2025-01-22,2025-01-28,5,-12.328571428571427,1.2,68.14285714285714
WY,2025-01-29,2025-02-04,6,-3.775,0.0,57.25
